time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1711345992999732500,-0.338267578125,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,21.76776650746417,3.0000000000000004,51.37245629918889,0
1711345993999716400,0.66171630859375,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,21.76776650746417,3.0000000000000004,51.37245629918889,0
1711345994999699200,1.66169921875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,21.76776650746417,3.0000000000000004,51.37245629918889,0
1711345995999681500,2.661681640625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,21.76776650746417,3.0000000000000004,51.37245629918889,0
1711345996999665000,3.661664794921875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,21.76776650746417,3.0000000000000004,51.37245629918889,0
1711345997999648300,4.661648193359375,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.241391526583937,10.079861143966326,51.37245629918889,0
1711345998999631000,5.661631103515625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.241516263089958,10.079684906942438,51.37245629918889,0
1711345999999613700,6.66161376953125,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.241640792278908,10.07950895821797,51.37245629918889,0
1711346000999595800,7.661595703125,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.241758435636564,10.079342734329142,51.37245629918889,0
1711346001999579400,8.661579345703124,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.241885279804425,10.07916350556875,51.37245629918889,0
1711346002999563300,9.661563232421875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.24201072883696,10.078986243407213,51.37245629918889,0
1711346003999545600,10.661545654296875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242150357954777,10.078788938980095,51.37245629918889,0
1711346004999528400,11.661528564453125,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242275909330948,10.078611522307536,51.37245629918889,0
1711346005999511800,12.66151171875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242361658353314,10.078490347654569,51.37245629918889,0
1711346006999494700,13.66149462890625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.24244865160503,10.078367412507491,51.37245629918889,0
1711346007999477800,14.661477783203125,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242545574941044,10.078230441939011,51.37245629918889,0
1711346008999459800,15.6614599609375,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242638781960697,10.078098720576618,51.37245629918889,0
1711346009999443500,16.661443359375,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242708340145471,10.07800041836919,51.37245629918889,0
1711346010999427600,17.661427490234374,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242786449072216,10.077890030220798,51.37245629918889,0
1711346011999410200,18.66141015625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242859522775825,10.07778675650427,51.37245629918889,0
1711346012999393000,19.66139306640625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242917720644547,10.077704505394495,51.37245629918889,0
1711346013999376000,20.6613759765625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.242976812832033,10.077620989312305,51.37245629918889,0
1711346014999358700,21.661358642578126,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243036946814696,10.07753599977546,51.37245629918889,0
1711346015999342600,22.661342529296874,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243095989066221,10.077452552175309,51.37245629918889,0
1711346016999325000,23.661324951171874,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243147404761837,10.077379882753506,51.37245629918889,0
1711346017999308000,24.66130810546875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243195716278542,10.077311599969681,51.37245629918889,0
1711346018999291400,25.66129150390625,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243246156348466,10.077240307979341,51.37245629918889,0
1711346019999273500,26.6612734375,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243284924507222,10.077185512552806,51.37245629918889,0
1711346020999256600,27.661256591796874,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243337341046534,10.077111425614405,51.37245629918889,0
1711346021999239000,28.661239013671874,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243388135263212,10.077039630930408,51.37245629918889,0
1711346022999223300,29.661223388671875,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243432573631612,10.076976819240423,51.37245629918889,0
1711346023999206400,30.661206298828127,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.24348467463068,10.076903176008978,51.37245629918889,0
1711346024999189200,31.661189208984375,1430.5240478720516,0.718601814926593,-1,35.756893786635146,1427.2115988936275,-1,14.243530974469962,10.076837731868748,51.37245629918889,0
